xx,Site,Season,Date,Time,Depth,Towdist,Towarea,SGcont,perTha,perSyr,perOSG,perTotSG,lenTha,lenSyr,lenOSG,perSand,perAlgae,volAlgae,denAlgae,Secchi,Landist,Edgedist,1*Lhab,2*Lhab,Long,Lat,Segment (BB vs SC),Salinity,Conduct,DO,DOsat,Temp,Notes
33,BB09_043,2009,6/23/2009,11:15,4.1,93,173.91,1,0.75,0,0,0.75,16,NA,NA,0.25,0,0,0,NA,11.3,4,1,5,-84.0104,29.9649,0,,,,,30.2,Thal 10-20cm; interspersed
34,BB09_044,2009,7/1/2009,14:45,0.5,81,151.47,1,0.5,0.5,0,1,,NA,NA,0,0,11356.2354,74.9735,0.5,1.3,1.7,1,5,-83.5221,29.7065,0,,,,,,Estimated depth/estimated secchi
35,BB09_045,2009,7/9/2009,13:05,3.2,84,157.08,2,0.65,0,0,0.65,25,NA,NA,0.05,0.3,99367.0598,632.5889,3.2,11.5,4.7,1,5,-82.7793,28.6406,1,,,,,31.5,Thal 10-40cm; macroalgal patches
36,BB09_047,2009,6/26/2009,11:30,0.8,72,134.64,1,0,0.85,0.05,0.9,,75,10,0.1,0,56625,420.566,0.8,0.4,12.1,1,5,-83.6985,29.9244,0,,,,,30,Syr 75cm; van-sized sand patches; temp from depth sounder
37,BB09_048,2009,6/22/2009,13:05,3,94,175.78,1,0,0.15,0.3,0.45,,20,12.5,0.55,0,11400,64.8538,3,4.2,1.2,1,5,-84.0408,30.0611,0,31.5,48.5,7.9,,31.2,HAWR 10-15cm; Syr 20cm; interspersed and patches
38,BB09_050,2009,7/7/2009,11:25,2.8,81,151.47,2,0,1,0,1,,35,NA,0,0,15141.6472,99.9647,2,5.2,7.9,1,2,-82.7408,28.8894,1,,,,,28.6,Syr 30-40; a few single Thal blades mixed in
39,BB09_051,2009,7/15/2009,12:40,1.4,88,164.56,2,0.85,0,0,0.85,15,NA,NA,0.15,0,11356.2354,69.0097,1.4,4.7,5,1,5,-82.779,28.3318,1,,,,,32,Thal 10-20cm; sand patches
40,BB09_052,2009,6/25/2009,13:15,3.7,99,185.13,1,,,,,,NA,NA,,,14000,75.6225,3.7,9,1.6,1,5,-83.8127,29.8922,0,,,,,29,no video; temp from depth sounder
41,BB09_053,2009,7/13/2009,13:40,1.8,79,147.73,2,0.15,0,0,0.15,10,NA,NA,0.75,0.1,34068.7062,230.6147,1.8,4.5,10.9,1,5,-82.7155,28.513,1,,,,,30.6,Thal <=10cm
42,BB09_055,2009,7/15/2009,11:05,2.6,81,151.47,2,0.9,0,0,0.9,50,NA,NA,0.1,0,17034.3531,112.4602,2.6,6.6,7,6,1,-82.8023,28.3056,1,,,,,31.4,Thal 40-60cm; sand patches
43,BB09_056,2009,6/30/2009,15:50,0.5,72,134.64,1,1,0,0,1,,NA,NA,0,0,0,0,0.5,1.1,4.3,1,5,-83.4156,29.5468,0,,,,,,Estimated depth/estimated secchi
44,BB09_057,2009,7/13/2009,10:30,3.2,76,142.12,2,0.95,0,0,0.95,40,NA,NA,0.05,0,34068.7062,239.7179,3.2,13.5,2,1,5,-82.8057,28.5325,1,,,,,29.9,Thal 30-50cm
45,BB09_058,2009,7/10/2009,10:30,1.5,83,155.21,2,0.35,0.35,0,0.7,30,30,NA,0.1,0.2,37854.118,243.8897,1.5,11.8,5.5,5,1,-82.7715,28.697,1,,,,,36.3,Thal & Syr 20-40cm
46,BB09_060,2009,6/30/2009,11:00,1.8,82,153.34,1,0.5,0.5,0,1,20,NA,NA,0,0,0,0,1,1.5,1.2,1,5,-83.4276,29.6573,0,,,,,,Thal 15-25cm
47,BB09_061,2009,7/13/2009,7:40,1.6,86,160.82,2,0.3,0,0,0.3,10,NA,NA,0.7,0,30283.2944,188.3055,1.6,1.6,15.1,6,4,-82.6723,28.5707,1,,,,,30.3,Thal <=10cm and thin blades
48,BB09_062,2009,7/2/2009,12:15,2.1,79,147.73,1,0,1,0,1,,NA,NA,0,0,0,0,1.5,2.2,3.8,5,1,-82.8374,29.0737,1,,,,,,"Syr estimated near 100% (muddy water) based on spot checks and trawl ""feel""; no video"
49,BB09_063,2009,6/26/2009,15:30,2.5,92,172.04,1,0.02,0.96,0,0.98,32.5,32.5,NA,0.02,0,139687.5,811.9478,2.5,4.4,4.6,1,5,-83.6787,29.8603,0,,,,,30,Thal/Syr 25-40cm; Sand interspersed
50,BB09_064,2009,6/23/2009,9:00,1.3,102,190.74,1,0.15,0.2,0,0.35,15,20,NA,0.6,0.05,11600,60.8158,1.3,3,9.2,1,5,-83.9372,30.0092,0,29.2,49.3,6.5,,29.7,Thal 10-20cm;Syr 10-30cm; small patches (edge)
51,BB09_066,2009,7/7/2009,8:20,2,89,166.43,2,0.65,0.05,0,0.7,25,25,NA,0.1,0.2,1892.7059,11.3724,2,7.6,5.9,1,2,-82.7617,28.8765,1,,,,,28.4,Thal/Syr 25cm; large sand patch w/sponges
52,BB09_067,2009,7/15/2009,8:45,4.2,87,162.69,2,1,0,0,1,,NA,NA,0,0,30283.2944,186.1411,4.2,13.1,0.3,6,1,-82.8504,28.3782,1,,,,,30.9,Thal 40-60cm; temp from depth sounder
53,BB09_068,2009,6/29/2009,14:00,2.1,84,157.08,1,0.15,0.85,0,1,35,35,NA,0,0,0,0,2.1,5.9,0.9,1,5,-83.6496,29.7869,0,,,,,29,Thal/Syr 30-40cm
54,BB09_069,2009,7/8/2009,9:00,2.6,69,129.03,2,0.5,0,0,0.5,12.5,NA,NA,0,0.5,73815.5301,572.0804,2.6,12.3,3.6,1,5,-82.7895,28.5581,1,,,,,28.6,"Thal 10-15cm, mixed in with patches of Laurencia algae/sponge/gorgonians"
55,BB09_070,2009,7/2/2009,11:15,1.5,76,142.12,1,,,,,,NA,NA,,,15141.6472,106.5413,1.5,0.9,2.9,5,1,-82.829,29.0902,1,,,,,,
56,BB09_071,2009,6/24/2009,9:15,5.6,84,157.08,2,0.1,0,0,0.1,,NA,NA,0.9,0,0,0,5.6,16.8,2.1,1,5,-84.0598,29.9375,0,,,,,27,no video; temp from depth sounder
57,BB09_072,2009,6/22/2009,9:00,1.6,87,162.69,1,0.07,0.92,0,0.99,40,40,NA,0.01,0,0,0,1.6,2.6,0.7,1,5,-84.1621,30.0479,0,31.9,49,6.2,,29.5,Thal/Syr 30-50cm; patches
58,BB09_076,2009,6/29/2009,13:00,1.7,87,162.69,1,0.95,0.05,0,1,30,40,NA,0,0,0,0,1.7,4.2,1.9,1,5,-83.6249,29.746,0,,,,,29,Thal 30cm; Syr 40cm
59,BB09_077,2009,7/9/2009,11:30,2.5,80,149.6,2,0.9,0,0,0.9,25,NA,NA,0.1,0,37854.118,253.0355,2.5,8.2,8.1,1,5,-82.7446,28.6275,1,,,,,24.1,Thal 10-40cm; sand interspersed
60,BB09_079,2009,6/25/2009,14:30,3.7,94,175.78,1,,,,,,NA,NA,,,11400,64.8538,NA,6.2,6,1,5,-83.7372,29.8823,0,,,,,29,temp from depth sounder
61,BB09_082,2009,7/6/2009,11:00,3,81,151.47,2,0.1,0,0,0.1,17.5,NA,NA,0.45,0.45,7570.8236,49.9823,1.5,14.7,0.1,1,2,-82.8288,28.8487,1,,,,,,Thal 10-25cm; Estimated secchi depth (not meas.)
62,BB09_083,2009,7/16/2009,11:10,3.2,73,136.51,2,0.85,0,0,0.85,30,NA,NA,0.15,0,0,0,3.2,7.2,3.7,6,1,-82.8363,28.2523,1,,,,,31.6,Thal 20-40cm; sand interspersed & patches
63,BB09_084,2009,6/25/2009,11:05,3.1,85,158.95,1,0.65,0,0,0.65,,NA,NA,0.35,0,49800,313.3061,3.1,7.5,4.3,1,5,-83.8336,29.9179,0,,,,,29,Thal 30-40cm; sand patches; video was very short; temp from depth sounder
64,BB09_085,2009,7/14/2009,7:35,1.4,73,136.51,2,0.15,0,0,0.15,10,NA,NA,0.75,0.1,34068.7062,249.5693,1.4,1.8,12.9,1,2,-82.7028,28.4624,1,,,,,30.4,"Thal <=10cm; macroalgal ""lumps""; temp measured with depth sounder"
65,BB09_086,2009,7/7/2009,9:15,1.6,84,157.08,2,0.15,0.85,0,1,75,75,NA,0,0,28390.5885,180.7397,1.6,3.3,10.9,1,2,-82.71,28.883,1,,,,,28.1,both SG 75cm
66,BB09_087,2009,7/15/2009,9:30,3.5,83,155.21,2,0.99,0.01,0,1,70,NA,NA,0,0,14195.2943,91.4586,3.5,11.6,1.2,1,5,-82.8448,28.3559,1,,,,,30.9,Thal 60-80cm
67,BB09_088,2009,6/29/2009,10:05,1.6,87,162.69,1,0.15,0.85,0,1,50,50,NA,0,0,75708.236,465.3527,1.6,2.4,3.3,1,5,-83.6169,29.8094,0,,,,,28,"Thal 40-60cm, mixed in with Syr 40-60cm"
68,BB09_089,2009,7/13/2009,11:30,2.7,80,149.6,2,,,,,,NA,NA,,,33122.3533,221.4061,2.7,8.6,6.4,6,1,-82.7601,28.504,1,,,,,30.2,
69,BB09_090,2009,7/10/2009,12:40,2.2,78,145.86,2,0.7,0,0,0.7,25,NA,NA,0.15,0.15,0,0,1.8,16,1.3,2,1,-82.8155,28.7817,1,,,,,33.3,Thal 20-30cm and thin blades; sand and macroalgae in patches
70,BB09_092,2009,6/30/2009,11:55,0.8,76,142.12,1,1,0,0,1,40,NA,NA,0,0,11356.2354,79.906,0.8,0.4,3.1,1,5,-83.4078,29.643,0,,,,,,Thal 35-45cm; Estimated depth/estimated secchi
71,BB09_093,2009,7/8/2009,10:25,3.5,82,153.34,2,1,0,0,1,30,NA,NA,0,0,41639.5298,271.5503,3.5,15.2,0.9,1,5,-82.8179,28.5602,1,,,,,28.8,Thal 30cm
72,BB09_095,2009,6/26/2009,13:00,1.5,78,145.86,1,0,0.98,0,0.98,,50,NA,0.02,0,127500,874.1259,NA,1.3,10.3,1,5,-83.6849,29.902,0,,,,,30,Syr 40-60cm; temp from depth sounder
73,BB09_096,2009,6/22/2009,14:20,2.1,102,190.74,1,0.05,0.07,0.01,0.13,15,20,10,0.87,0,1100,5.767,2.1,1.9,1,1,5,-84.0095,30.0698,0,29.8,52.3,8.2,,31.8,Halophila; Thal 10-20cm; Syr 10-30cm
74,BB09_099,2009,7/15/2009,11:45,1.6,32,59.84,2,0.85,0,0,0.85,35,NA,NA,0.15,0,52995.7652,885.6244,1.6,3,10.5,1,5,-82.7659,28.3127,1,,,,,31.7,Thal 30-40cm; sand in patches; ~50% SG covered with drift algae; starboard bag too heavy to bring in
75,BB09_101,2009,7/13/2009,14:30,2.4,78,145.86,2,0.25,0,0,0.25,15,NA,NA,0.6,0.15,15141.6472,103.8095,2.4,5.1,10.4,1,5,-82.7198,28.5351,1,,,,,30.6,Thal 10-20cm
76,BB09_103,2009,7/15/2009,10:15,3.1,80,149.6,2,0.98,0,0,0.98,30,NA,NA,0.02,0,37854.118,253.0355,3.1,8.7,8.1,1,5,-82.8217,28.3254,1,,,,,30.6,Thal 20-40cm; sand patches
77,BB09_104,2009,6/30/2009,13:00,1,81,151.47,1,,,,,,NA,NA,,,85171.7655,562.3012,1,1.3,3,1,5,-83.4176,29.6062,0,,,,,,Estimated depth/estimated secchi
78,BB09_105,2009,7/13/2009,9:35,2.2,75,140.25,2,0.7,0,0,0.7,15,NA,NA,0.3,0,28390.5885,202.4284,2.2,9.3,6.9,6,4,-82.7557,28.5815,1,,,,,29.7,Thal 10-20cm
79,BB09_106,2009,7/10/2009,9:25,1.6,80,149.6,2,0.9,0,0,0.9,35,NA,NA,0.05,0.05,17034.3531,113.866,1.6,10.5,6.5,5,1,-82.7603,28.6882,1,,,,,36.2,Thal 20-50cm thin blades; sand and macroalage in patches; large tumbleweeds of drift algae
80,BB09_108,2009,6/22/2009,11:30,3,87,162.69,1,0.3,0,0.3,0.6,22.5,NA,NA,0.4,0,0,0,NA,5,1.7,1,5,-84.0633,30.0498,0,32.1,49.4,7.4,,30.5,HAWR 10cm; Thal 15-30cm; interspersed sand (thin)
81,BB09_109,2009,7/13/2009,8:45,2.2,79,147.73,2,0.4,0,0,0.4,10,NA,NA,0.6,0,33122.3533,224.2087,2.2,6.4,9.7,1,5,-82.7277,28.6179,1,,,,,29.8,Thal <10cm and thin blades
82,BB09_110,2009,7/2/2009,13:30,2,81,151.47,1,0,0.98,0,0.98,,NA,NA,0.02,0,0,0,2,1.8,5.8,5,1,-82.8211,29.0623,1,,,,,,sand in patches
83,BB09_113,2009,7/1/2009,10:20,2.3,73,136.51,1,0.3,0.7,0,1,45,45,NA,0,0,0,0,2.3,4.1,2.8,1,5,-83.3617,29.45,0,,,,,,Thal/Syr 40-50cm
84,BB09_114,2009,7/9/2009,15:45,2.8,61,114.07,2,0.85,0,0,0.85,15,NA,NA,0.15,0,18927.059,165.9249,2.8,6.4,9.9,1,5,-82.7269,28.6426,1,,,,,29.2,"Thal 10-20cm; towed seagrass ""island"" in macroalage ""field"""
85,BB09_115,2009,7/16/2009,9:05,1.5,71,132.77,2,0.95,0,0,0.95,60,NA,NA,0.01,0.04,94635.295,712.7762,1.5,0.7,12,2,1,-82.7514,28.2671,1,,,,,32.2,Thal 60cm; sand patches; many large drift algae patches; towed ~ 1km from site
86,BB09_116,2009,6/26/2009,8:50,4.5,87,162.69,1,0.15,0.05,0.05,0.25,17.5,17.5,10,0.75,0,1875,11.525,4.5,10.3,1.4,1,5,-83.7405,29.8377,0,,,,,28,HAWR 10cm; Thal/Syr 15-20cm; many large sand patches; temp from depth sounder
87,BB09_118,2009,7/6/2009,9:50,1.5,86,160.82,2,0.95,0,0,0.95,25,NA,NA,0.05,0,0,0,1.5,11.9,5.5,2,1,-82.7731,28.8272,1,,,,,,Thal 20-30cm
88,BB09_119,2009,7/14/2009,10:20,3.3,79,147.73,2,0.95,0.01,0,0.96,30,NA,NA,0.04,0,99367.0598,672.6261,3.3,10,4.4,1,5,-82.8088,28.4026,1,,,,,32.3,Thal 30cm
89,BB09_120,2009,6/29/2009,15:00,1.3,86,160.82,1,0.5,0.5,0,1,35,35,NA,0,0,39746.8239,247.151,1.3,3.4,3.2,1,5,-83.6234,29.7854,0,,,,,29,Thal/Syr 30-40cm; seagrasses interspersed
90,BB09_121,2009,7/14/2009,11:15,3.4,83,155.21,2,0.2,0.8,0,1,70,NA,NA,0,0,54888.4711,353.64,3.4,16.1,0.8,1,5,-82.8453,28.4602,1,,,,,30.3,Thal 60-80cm; seagrasses mainly in patches with some interspersed
91,BB09_123,2009,6/24/2009,13:45,3,99,185.13,1,0.7,0,0.1,0.8,15,NA,10,0.2,0,0,0,3,7.3,9.8,1,5,-83.933,29.9643,0,,,,,29,HAWR patches; Thal 10-20cm; sand interspersed; temp from depth sounder
92,BB10_002,2010,7/1/2010,10:55,2,114,213.18,1,0.9,0,0,0.9,50,NA,NA,0.1,0,1892.7059,8.8784,NA,4.56,7.3,1,5,-83.7383,29.8994,0,28,43.7,5.4,80.8,27.9,Thal 50cm; video very bad -- may not be useable
93,BB10_003,2010,6/24/2010,10:55,1.2,80,149.6,1,0.92,0.02,0,0.94,40,40,NA,0.06,0,14195.2943,94.8883,1.2,0.57,5.3,1,5,-83.307,29.4488,0,23.3,41.2,7.5,114.6,30.7,Thal and Syr 30-50 cm; One patch with little interspersed Syr; One large sand patch
94,BB10_004,2010,6/17/2010,12:00,2.7,79,147.73,2,0.8,0.05,0,0.85,32.5,32.5,NA,0.15,0,52049.4123,352.328,2.7,14.41,0.4,5,1,-82.8236,28.6847,1,29.1,51.9,5.5,89.7,32.7,Thal and Syr 25-40 cm; sand mostly in patches
95,BB10_007,2010,6/17/2010,13:26,2,87,162.69,2,0.85,0.05,0,0.9,27.5,27.5,NA,0.1,0,56781.177,349.0145,2,11.81,2.4,5,1,-82.8038,28.7223,1,28.8,51.7,6.5,106.6,33,Thal and Syr 20-35 cm interspersed; sand in small patches
96,BB10_008,2010,6/15/2010,13:00,3,77,143.99,2,0.7,0,0,0.7,35,NA,NA,0.3,0,104098.8245,722.9587,3,7.12,8.7,5,1,-82.7648,28.4435,1,28.2,49.9,5.4,87,32.1,Thal 30-40 cm; Sand patches desk sized to bus sized
97,BB10_010,2010,6/23/2010,10:30,1,43,80.41,2,0.85,0,0,0.85,25,NA,NA,0.05,0.1,18927.059,235.3819,1,0.14,8.8,1,5,-82.7921,29.0765,1,20.9,36.6,5.2,77.1,29.7,Thal 20-30 cm; large macro and sand patches; 1:15 trawl in small strip of SG within large macroalgae patch.
98,BB10_011,2010,6/22/2010,10:20,3.1,75,140.25,2,0,0.3,0,0.3,,30,NA,0.7,0,3785.4118,26.9905,1.37,7.23,4.9,5,1,-82.7916,28.9255,1,28,48.2,6.2,96.5,30.4,"Syr 20-40 cm; sand interspersed  and patchy,estimated from Aqua Vu"
99,BB10_012,2010,6/14/2010,9:30,2.7,80,149.6,2,0.8,0.2,0,1,60,60,NA,0,0,47317.6475,316.2944,2.7,6.38,4.5,6,1,-82.8248,28.2594,1,33.8,57.4,5.4,86.8,30.7,Thal and Syr 60 cm; mixed; tow distance based on Stallings segment average
100,BB10_013,2010,6/30/2010,9:45,1.5,124,231.88,1,0.6,0.4,0,1,50,60,NA,0,0,0,0,1.5,1.42,5.3,1,5,-83.6019,29.7757,0,29.5,49.5,3.7,59.7,29.4,Thal 50 cm; Syr 60 cm; total coverage of SG; sm spotting of baseball sz algae mixed in dense patches
101,BB10_016,2010,6/15/2010,10:40,3.4,77,143.99,2,0.8,0,0,0.8,32.5,NA,NA,0.2,0,104098.8245,722.9587,3.2,10.07,4.4,1,5,-82.8079,28.4204,1,31,54.5,6.1,99.1,31.8,Thal 25-40 cm; Sand interspersed
102,BB10_018,2010,7/1/2010,8:10,1.4,108,201.96,1,0,0.65,0,0.65,,40,NA,0.25,0.1,70976.4713,351.4383,1.4,1.35,7.6,1,5,-83.6646,29.8871,0,29.1,48,3.7,51.8,28.4,Syr 30-50cm; sand patches
103,BB10_020,2010,6/16/2010,14:10,2.4,81,151.47,2,0.85,0.05,0,0.9,25,NA,NA,0.1,0,52049.4123,343.6285,2.4,6.58,9.1,1,5,-82.7338,28.6333,1,23.5,43.2,6.8,108.9,33.1,Thal and Syr 20-30 cm; Sand monstly in a few large patches
104,BB10_021,2010,7/6/2010,16:15,3,96,179.52,2,0.25,0.1,0,0.35,25,30,NA,0.65,0,4731.7648,26.3579,,10.79,1.9,1,5,-84.03,29.9841,0,24.6,42.6,6.2,92.5,29,Thal 20-30cm; Syr 30cm; SG mostly seperated; sand inter w/some patches
105,BB10_022,2010,7/7/2010,13:00,2.5,70,130.9,1,0,0.95,0,0.95,,50,NA,0,0.05,11356.2354,86.755,,3.74,1.4,1,5,-84.0338,30.0651,0,22.1,37.8,6.4,93.6,29.5,Syr 50 cm; Syr intermixed with algae; Lg sand patches sparse w/ algae 95% cover
106,BB10_023,2010,6/21/2010,13:00,1.8,82,153.34,2,0.97,0,0,0.97,35,NA,NA,0.03,0,2839.0589,18.5148,1.8,8.22,1.9,2,5,-82.8087,28.8192,1,28.9,50.3,7.1,111.1,31.2,Thal 20-50 cm; Sand in small volleyball sized patches
107,BB10_024,2010,6/15/2010,,3,84,157.08,2,0.25,0.75,0,1,40,40,NA,0,0,61512.9417,391.6026,3,14.72,0.3,5,1,-82.8504,28.4434,1,32.4,53.5,5.4,95.5,31.3,Thal and Syr 30-50 cm; 25% drift algae on top
